title,title count,genres,primaryGenre,contentRating,size,numberOfSupported,released,version,price,score,reviews,store
Minnesota Wildflowers Info.,27,,EDUCATION,4+,5300000,5,19/03/2018,1.0.25,9.99,5,6,google store
MIT AI2 Companion,17,,EDUCATION,4+,15000000,10,24/11/2013,2.49,0,4,3633,google store
Mixing R&B by David Isaac,25,"[""Education"",""Reference""]",Education,4+,421232640,5,03/05/2010,2.1.1,13.99,1.5,5,appStore
Mo Chéad Fhocail,17,Education,EDUCATION,4+,40000000,10,12/02/2015,1.0.2,1.99,5,1,google store
Mobile LD-Player,16,,EDUCATION,4+,12000000,7,10/02/2018,1.1,0,5,0,google store
Mobile Learning & Study App,27,"[""Education"",""Reference""]",Education,4+,35909632,4,26/07/2014,1.6.6,0,5,441,appStore
Mobile USOS UW,14,,EDUCATION,4+,7000000,7,04/10/2018,1.0.11,0,4,22,google store
Molecular Weight Calculator,27,,EDUCATION,4+,2800000,10,28/09/2014,6,0,4.5,18,google store
Mondly: Learn 33 Languages,26,"[""Education"",""Travel""]",Education,4+,368659456,3,04/06/2015,7.1.13,0,4.5,8662,appStore
MongoDB University,18,"[""Education""]",Education,4+,24749056,5,21/09/2015,1.3.8,0,2.5,24,appStore
Monkey Junior: learn to read,28,"[""Education""]",Education,4+,77800448,5,28/10/2014,24.0.10,0,4.5,4955,appStore
Monkey Math School Sunshine,27,"[""Education"",""Puzzle"",""Games"",""Family""]",Education,4+,238529536,6,26/07/2011,2.04,1.99,4,1175,appStore
Monkey Preschool Lunchbox,25,"[""Education"",""Games"",""Puzzle"",""Family""]",Education,4+,246426624,5,31/08/2009,4.19,1.99,4,9438,appStore
Monster Math : Kids Fun Games,29,"[""Education"",""Family"",""Adventure"",""Games""]",Education,9+,92620800,5,21/11/2014,17.7.0,0,4.5,3217,appStore
Monster Math For Kids - Games,29,"[""Education"",""Family"",""Games"",""Adventure""]",Education,4+,118249472,5,10/12/2015,17.6.0,0,4.5,1677,appStore
Monster Park - AR Dino World,28,"[""Education"",""Entertainment""]",Education,9+,263832576,2,19/09/2017,1.7.0,0,4.5,3138,appStore
Montessorium: Intro to Geo,26,"[""Education"",""Games"",""Family""]",Education,4+,388826112,5,11/09/2015,1.4,4.99,3.5,26,appStore
Motorcycle Theory Test UK,25,,EDUCATION,4+,13000000,7,03/07/2017,4.3,1.99,4.5,40,google store
MR.VL,5,,EDUCATION,12+,681000,6,01/06/2018,1,0,5,1,google store
MSW Pocket Prep,15,"[""Education"",""Reference""]",Education,12+,47280128,2,22/01/2014,6.7,0,4.5,3543,appStore
Mt. Zion Revival Center,23,,EDUCATION,4+,21000000,6,19/10/2018,1,0,5,4,google store
Multimeter,10,,EDUCATION,4+,6500000,7,20/03/2014,1.3,0,3,35,google store
Multiplication Genius x19 Free,30,"[""Education"",""Games"",""Family"",""Trivia""]",Education,4+,81490944,7,29/03/2011,1.3,0,4,2531,appStore
Music Sparkles,14,"[""Education"",""Family"",""Music"",""Games""]",Education,4+,120518656,4,02/08/2011,4.6,0,4,3176,appStore
My EF Center,12,,EDUCATION,4+,28000000,5,21/08/2017,1.10.2,0,3,63,google store
My EU,5,,EDUCATION,4+,13000000,7,15/05/2017,3.2.1,0,4,2,google store
"My Handbook : EE, EC, EI, E&T, EEE, EECS",40,,EDUCATION,4+,7700000,7,27/07/2015,8.07.021,0,4.5,1492,google store
My Math Flash Cards App,23,"[""Education"",""Games"",""Family""]",Education,4+,18800640,4,04/01/2011,7.1.0,0,4,7444,appStore
My Pretend Home & Family,24,"[""Education"",""Family"",""Games"",""Role Playing""]",Education,4+,150432768,6,23/02/2018,1.3,0,3.5,149,appStore
My Study Life - School Planner,30,"[""Education"",""Productivity""]",Education,4+,94051328,5,27/08/2014,3.1.1,0,4.5,1696,appStore
My Town : Airport,17,"[""Education"",""Games"",""Family"",""Role Playing""]",Education,4+,302414848,5,22/02/2018,1.2,2.99,4.5,2352,appStore
My Town : Beach Picnic,22,"[""Education"",""Games"",""Family"",""Role Playing""]",Education,4+,269433856,5,11/11/2015,1.5,2.99,4.5,2487,appStore
My TU Delft,11,,EDUCATION,4+,6500000,7,06/06/2018,1.0.4,0,3,35,google store
My Very Hungry Caterpillar,26,"[""Education"",""Entertainment""]",Education,4+,162202624,6,16/10/2014,1.4.0,4.99,4.5,5795,appStore
MyDocs,6,,EDUCATION,4+,45000000,7,09/10/2018,1.2.3,0,5,4,google store
myHomework Student Planner,26,"[""Education"",""Productivity""]",Education,4+,47826944,5,28/01/2009,6.7.16,0,3.5,54474,appStore
MyMCPS Helper,13,,EDUCATION,4+,73000000,7,22/09/2017,2.2.0,0,3.5,74,google store
myMCPS+,7,"[""Education""]",Education,4+,5096448,2,03/10/2017,2.0.2,0,4.5,2697,appStore
MyUSCAP,7,"[""Education""]",Education,4+,95444992,4,17/02/2018,1.2,0,1,5,appStore
N. K. Bagrodia Global School Dwarka,35,,EDUCATION,4+,7300000,7,07/04/2018,1.1,0,4,12,google store
NASA,4,"[""Education"",""Reference""]",Education,4+,56008704,3,23/10/2009,4.0.9,0,3.5,43047,appStore
NASA Visualization Explorer,27,"[""Education"",""News""]",Education,4+,36807680,7,26/07/2011,1.9.11,0,4,554,appStore
NASM CPT Pocket Prep,20,"[""Education"",""Health & Fitness""]",Education,12+,47623168,2,13/09/2014,6.7,0,5,2003,appStore
National Gallery of Art,23,"[""Education"",""Travel""]",Education,4+,76929024,3,26/10/2015,1.8,0,1,10,appStore
Navy BMR,8,"[""Education"",""Reference""]",Education,12+,23762944,4,03/08/2017,1.0.21,0,5,1245,appStore
NB OHS Guide / Guide de SST NB,30,,EDUCATION,4+,37000000,6,03/12/2015,2.1,0,4.5,3,google store
NC Essential Standards,22,,EDUCATION,4+,16000000,7,17/10/2014,1.1.6,0,5,1,google store
NC Sex Offender Registry,24,,EDUCATION,4+,7800000,9,28/10/2013,1.4,0,3.5,61,google store
NC State On Campus,18,,EDUCATION,4+,13000000,5,29/05/2013,2.2.1,0,3.5,11,google store
NC YAG Bill Tracker,19,"[""Education""]",Education,4+,3520512,5,06/02/2016,1.0.2,5.99,3.5,7,appStore
NCE Exam Quiz 2019 Ed,21,,EDUCATION,4+,10000000,7,26/04/2018,1.0.2,0,4,1,google store
NCERT Solutions of NCERT Books,30,,EDUCATION,4+,8400000,7,18/11/2015,3.3.2,0,4.5,51380,google store
NCLEX - RN Exam Free 2018 Practice Questions Tests,50,,EDUCATION,4+,2000000,7,28/03/2018,2,0,4,14,google store
NCLEX PN Test Prep,18,,EDUCATION,4+,11000000,7,30/01/2018,3.0.4,0,4.5,3,google store
NCLEX RN Lippincott Review,26,,EDUCATION,4+,21000000,5,15/03/2016,5.44.4025,0,4.5,125,google store
NCLEX RN Proficiency 2018,25,,EDUCATION,4+,9800000,7,13/02/2017,1.7.11,0,4,9,google store
NCLEX RN Study Notes,20,,EDUCATION,4+,7900000,7,11/08/2016,1.1.1,0,4.5,16,google store
NCLEX RN Ultimate Reviewer,26,,EDUCATION,4+,8300000,7,08/06/2014,2.4,0,4.5,958,google store
NCLEX- RN Success,17,,EDUCATION,4+,10000000,7,04/08/2016,22,0,3,7,google store
NCLEX-PN Exam Questions 2018 Version,36,,EDUCATION,4+,6400000,7,23/06/2017,2.0.2,0,4,4,google store
NCLEX-PN® - Mosby's Exam Prep 2016,35,"[""Education"",""Medical""]",Education,17+,28340224,5,23/09/2016,1,0,3.5,18,appStore
NCLEX-RN Mosby's ExamPrep 2018,30,"[""Education"",""Medical""]",Education,17+,40346624,5,20/09/2016,2.2.2,0,3,39,appStore
